Filename852-delno	Pade v menu	CategoryTag	Tag1	Področje	Tag3	Podlaga	Tehnika	Tag6	Tag7	Tag8	Tag9
premalo podatkov za uvedbo inτp.,26.6.2018.odt	IP RS | Mnenja IP	Mnenje IP									
Prenos OP_Jasmina.odt	IP RS | Mnenja IP	Mnenje IP			prenos podatkov						
Prenos osebnih podatkov v Srbijo_Neja.odt	IP RS | Mnenja IP	Mnenje IP			prenos podatkov						
prenos osebnih podatkov v tretje drºave_Neja.odt	IP RS | Mnenja IP	Mnenje IP			prenos podatkov						
pridobitev prijave iz inτpekcijskega spisa.odt	IP RS | Mnenja IP	Mnenje IP									
pridobivanje OP o otroku_29.5.18.odt	IP RS | Mnenja IP	Mnenje IP	otroci								
pridobivanje OP o pokojnem oƒetu.odt	IP RS | Mnenja IP	Mnenje IP							OP Pokojnih		
pridobivanje OP za namen izvajanja storitev - mnenje MLO.odt	IP RS | Mnenja IP	Mnenje IP									
pridobivanje podatkov o τtevilu uporabnikov posamezne enote s strani upravnika.odt	IP RS | Mnenja IP	Mnenje IP									
prijava krτitve GDPR.odt	IP RS | Mnenja IP	Mnenje IP	GDPR								
prijava nagradne igre IP_0712-1 2018 1445.odt	IP RS | Mnenja IP	Mnenje IP			nagradna igra						
privolitev po GDPR.odt	IP RS | Mnenja IP	Mnenje IP	GDPR						privolitev		
privolitev po GDPR_Mateja.odt	IP RS | Mnenja IP	Mnenje IP	GDPR						privolitev		
privolitev, lista prisotnosti_GDPR_Nuτa.odt	IP RS | Mnenja IP	Mnenje IP	GDPR						privolitev		
privolitev_GDPR.odt	IP RS | Mnenja IP	Mnenje IP	GDPR						privolitev		
register zbirk.odt	IP RS | Mnenja IP	Mnenje IP	register								
seznanitev z mapo otroka.odt	IP RS | Mnenja IP	Mnenje IP	otroci		dostop do podatkov						
skupni obdelovalci in pogodbena obdelava_(M)_Sironiƒ.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava			obdelovalec			
skupni upravljavci in pogodbena obdelava podatkov_popr.odt	IP RS | Mnenja IP	Mnenje IP			pogodbena obdelava						
